composite,defagn,defstarform,galname
False,False,True,ECO01459
False,False,True,ECO01460
False,False,True,ECO01461
False,False,True,ECO01462
False,False,True,ECO01463
False,False,True,ECO01464
False,False,True,ECO01466
False,False,True,ECO01467
False,False,True,ECO01468
False,False,True,ECO01470
False,False,True,ECO01472
False,False,True,ECO01473
False,False,True,ECO01474
False,False,True,ECO01475
False,False,True,ECO01476
False,False,True,ECO01477
False,False,True,ECO01478
False,False,True,ECO01479
False,False,True,ECO01480
False,False,True,ECO01481
False,False,True,ECO01482
False,False,True,ECO01484
False,False,True,ECO01485
False,False,True,ECO01486
False,False,True,ECO01487
False,False,True,ECO01488
False,False,True,ECO01489
False,False,True,ECO01490
False,False,True,ECO01491
False,False,True,ECO01492
False,False,True,ECO01493
False,False,True,ECO01495
False,False,True,ECO01496
False,False,True,ECO01499
False,False,True,ECO01500
False,False,True,ECO01501
False,False,True,ECO01505
False,False,True,ECO01506
False,False,True,ECO01509
False,False,True,ECO01510
False,False,True,ECO01511
False,False,True,ECO01512
False,False,True,ECO01515
False,False,True,ECO01517
False,False,True,ECO01520
False,False,True,ECO01521
